[gg_2d | gg2_final_rawmax_k2] M=1000 rep=1/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=2/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=3/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=4/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=5/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=6/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=7/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=8/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=9/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=10/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=11/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=12/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=13/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=14/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=15/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=16/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=17/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=18/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=19/20 done
[gg_2d | gg2_final_rawmax_k2] M=1000 rep=20/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=1/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=2/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=3/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=4/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=5/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=6/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=7/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=8/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=9/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=10/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=11/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=12/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=13/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=14/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=15/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=16/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=17/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=18/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=19/20 done
[gg_2d | gg2_final_rawmax_k2] M=2000 rep=20/20 done
[gg_2d | gg2_final_rawmax_k2] M=4000 rep=1/20 done
[gg_2d | gg2_final_rawmax_k2] M=4000 rep=2/20 done
[gg_2d | gg2_final_rawmax_k2] M=4000 rep=3/20 done
[gg_2d | gg2_final_rawmax_k2] M=4000 rep=4/20 done
[gg_2d | gg2_final_rawmax_k2] M=4000 rep=5/20 done
[gg_2d | gg2_final_rawmax_k2] M=4000 rep=6/20 done
[gg_2d | gg2_final_rawmax_k2] M=4000 rep=7/20 done
